n,seconds
1053,0.0363703840
1054,0.0383164130
1055,0.0398060010
1056,0.0367104730
1057,0.0399928370
1058,0.0592631870
1059,0.0494788230
1060,0.0400883850
1061,0.0422332960
1062,0.0451307260
1063,0.0597882220
1064,0.0485910340
1065,0.0436123880
1066,0.0395978300
1067,0.0414746130
1068,0.0400635670
1069,0.0419049460
1070,0.0400705830
1071,0.0472033350
1072,0.0424750900
1073,0.0400015840
1074,0.0419739870
1075,0.0403689940
1076,0.0431091790
1077,0.0397326010
1078,0.0440422170
1079,0.0414216750
1080,0.0428465050
1081,0.0378987800
1082,0.0350295680
1083,0.0353711500
1084,0.0358481330
1085,0.0365773820
1086,0.0358676480
1087,0.0354519310
1088,0.0361159020
1089,0.0387436680
1090,0.0515171230
1091,0.0361657250
1092,0.0359133790
1093,0.0363513320
1094,0.0385168220
1095,0.0360195140
1096,0.0357106950
1097,0.0362680010
1098,0.0362685400
1099,0.0369715560
1100,0.0364049630
1101,0.0371580250
1102,0.0368839920
1103,0.0366168380
1104,0.0376603210
1105,0.0375951240
1106,0.0386845710
1107,0.0452454080
1108,0.0473385360
1109,0.0348287100
1110,0.0361798230
1111,0.0456667810
1112,0.0485336180
1113,0.0433828000
1114,0.0559838930
1115,0.0441987130
1116,0.0467912140
1117,0.0467796260
1118,0.0471106530
1119,0.0472571640
1120,0.0491992650
1121,0.0699631680
1122,0.0476017210
1123,0.0468070960
1124,0.0428728890
1125,0.0451170460
1126,0.0445781150
1127,0.0476219520
1128,0.0530242220
1129,0.0618391640
1130,0.0534978030
1131,0.0469621400
1132,0.0465609010
1133,0.0469654290
1134,0.0502674190
1135,0.0407704550
1136,0.0418993190
1137,0.0435453120
1138,0.0408306230
1139,0.0412646620
1140,0.0397955760
1141,0.0391413020
1142,0.0391195970
1143,0.0395888400
1144,0.0556596640
1145,0.0397895030
1146,0.0408507860
1147,0.0408954040
1148,0.0413821880
1149,0.0421929660
1150,0.0409015650
1151,0.0415333700
1152,0.0412991510
1153,0.0447071670
1154,0.0419141300
1155,0.0450123780
1156,0.0412986330
1157,0.0440599380
1158,0.0405326490
1159,0.0413169420
1160,0.0435178110
1161,0.0451164290
1162,0.0503007840
1163,0.0502577100
1164,0.0500813850
1165,0.0490430910
1166,0.0485377150
1167,0.0492737730
1168,0.0494039830
1169,0.0520067960
1170,0.0467328250
1171,0.0512846390
1172,0.0501436460
1173,0.0512563300
1174,0.0492300760
1175,0.0514744220
1176,0.0496263630
1177,0.0529199840
1178,0.0494367540
1179,0.0508039190
1180,0.0508602140
1181,0.0500668780
1182,0.0421144650
1183,0.0425427750
1184,0.0418297490
1185,0.0429596820
1186,0.0425611970
1187,0.0431413310
1188,0.0430007300
1189,0.0604130620
